Symbol,Date,Open,High,Low,Close,Volume
ACPL,12-Apr-2011,55.50,56.30,55.20,56.11,6448
ACPL,13-Apr-2011,55.50,55.50,55.10,55.35,3037
ACPL,14-Apr-2011,55.90,56.50,55.10,55.28,31660
ACPL,15-Apr-2011,55.01,56.45,54.50,55.76,20695
ACPL,18-Apr-2011,56.49,56.49,54.00,54.95,32085
ACPL,19-Apr-2011,54.01,54.75,53.20,54.39,29705
ACPL,20-Apr-2011,53.60,54.90,53.55,54.71,6705
ACPL,21-Apr-2011,54.05,55.00,54.05,54.75,49700
ACPL,22-Apr-2011,55.00,55.00,54.40,54.55,7750
ACPL,25-Apr-2011,54.01,54.49,53.61,54.00,3537
ACPL,26-Apr-2011,53.65,54.50,53.60,54.26,2182
ACPL,27-Apr-2011,54.25,54.30,54.00,54.21,10320
ACPL,28-Apr-2011,54.00,54.30,53.75,54.09,1571
ACPL,29-Apr-2011,54.00,54.25,52.25,53.27,8199
ACPL,02-May-2011,54.50,54.50,51.60,52.84,7106
ACPL,03-May-2011,52.01,52.01,51.52,51.56,4804
ACPL,04-May-2011,51.55,51.60,50.75,50.85,27852
ACPL,05-May-2011,51.50,51.50,51.01,51.40,1419
ACPL,06-May-2011,51.80,53.25,50.75,51.25,3907
ACPL,09-May-2011,52.20,52.99,51.50,52.00,2780
ACPL,10-May-2011,51.60,52.69,51.25,52.25,4097
ACPL,11-May-2011,51.52,52.58,51.49,51.56,1528
ACPL,12-May-2011,52.15,53.00,52.01,52.87,16674
ACPL,13-May-2011,52.50,54.00,52.50,52.55,3164
ACPL,16-May-2011,52.51,53.47,52.51,52.61,703
ACPL,17-May-2011,53.49,53.49,52.00,52.72,8077
ACPL,18-May-2011,52.89,52.89,51.81,52.50,1003
ACPL,19-May-2011,51.72,52.89,51.72,52.78,1203
ACPL,20-May-2011,52.99,53.48,51.52,53.00,9830
ACPL,23-May-2011,52.50,52.97,52.50,52.65,3646
ACPL,24-May-2011,53.20,53.44,52.22,53.42,1105
ACPL,25-May-2011,53.48,53.60,53.10,53.32,6010
ACPL,26-May-2011,53.50,53.74,52.50,53.50,13056
ACPL,27-May-2011,53.85,55.95,53.01,54.97,26019
ACPL,30-May-2011,53.65,54.65,53.65,54.15,1419
ACPL,31-May-2011,53.50,55.98,53.50,54.89,2726
ACPL,01-Jun-2011,54.50,54.50,54.01,54.50,9517
ACPL,02-Jun-2011,53.50,54.00,53.30,53.30,1210
ACPL,03-Jun-2011,53.98,55.39,53.50,54.66,65921
ACPL,06-Jun-2011,54.65,56.01,53.20,53.93,83801
ACPL,07-Jun-2011,53.50,54.49,53.12,54.03,79165
ACPL,08-Jun-2011,53.50,54.50,53.32,54.37,12426
ACPL,09-Jun-2011,53.99,53.99,53.51,53.57,4700
ACPL,10-Jun-2011,53.57,54.19,53.15,53.19,5103
ACPL,13-Jun-2011,53.70,54.00,53.55,53.60,5100
ACPL,14-Jun-2011,53.90,53.90,53.40,53.60,32
ACPL,15-Jun-2011,53.60,54.30,53.20,53.26,594
ACPL,16-Jun-2011,53.01,53.01,52.76,53.00,6023
ACPL,17-Jun-2011,54.50,54.50,51.22,52.51,2946
ACPL,20-Jun-2011,52.10,53.39,51.60,52.63,5449
ACPL,21-Jun-2011,52.99,52.99,51.25,51.25,13239
ACPL,22-Jun-2011,52.49,52.49,49.12,49.89,79642
ACPL,23-Jun-2011,51.75,51.75,49.00,49.44,102012
ACPL,24-Jun-2011,49.88,49.88,48.60,49.30,4194
ACPL,27-Jun-2011,49.95,50.50,48.12,49.96,16522
ACPL,28-Jun-2011,49.05,49.22,48.65,48.85,14170
ACPL,29-Jun-2011,49.90,49.90,48.11,49.00,61660
ACPL,30-Jun-2011,49.89,49.89,48.50,48.53,22107
ACPL,01-Jul-2011,48.95,49.00,48.95,48.95,2020
ACPL,04-Jul-2011,49.00,49.20,48.03,48.80,16470
ACPL,05-Jul-2011,48.99,51.24,48.60,49.20,72058
ACPL,06-Jul-2011,49.75,49.75,49.00,49.60,4166
ACPL,07-Jul-2011,49.75,49.75,49.00,49.02,3743
ACPL,08-Jul-2011,51.00,51.00,48.50,48.92,530
ACPL,11-Jul-2011,49.70,49.70,48.10,48.33,5416
ACPL,12-Jul-2011,48.50,48.98,48.05,48.58,3081
ACPL,13-Jul-2011,48.80,49.40,48.70,49.40,1624
ACPL,14-Jul-2011,49.00,49.40,49.00,49.40,200
ACPL,15-Jul-2011,49.01,49.01,48.75,48.76,3510
ACPL,18-Jul-2011,49.25,49.25,49.00,49.25,1534
ACPL,19-Jul-2011,48.75,48.99,48.00,48.38,11803
ACPL,20-Jul-2011,49.00,49.40,48.50,48.97,26731
ACPL,21-Jul-2011,49.45,49.49,49.45,49.48,1000
ACPL,22-Jul-2011,49.89,49.89,48.75,49.05,13470
ACPL,25-Jul-2011,49.25,49.25,48.72,49.05,102
ACPL,26-Jul-2011,48.65,48.65,48.31,48.32,5801
ACPL,27-Jul-2011,48.40,48.50,48.40,48.50,1500
ACPL,28-Jul-2011,48.48,48.50,48.00,48.05,3551
ACPL,29-Jul-2011,48.49,48.49,45.65,46.88,822
ACPL,01-Aug-2011,48.50,48.51,47.99,48.00,14041
ACPL,02-Aug-2011,47.02,47.70,47.00,47.00,1615
ACPL,03-Aug-2011,46.51,46.51,45.00,45.10,4147
ACPL,04-Aug-2011,45.03,45.03,44.05,44.69,6048
ACPL,05-Aug-2011,45.00,45.00,42.46,42.61,6453
ACPL,08-Aug-2011,42.15,42.20,40.50,42.00,13592
ACPL,09-Aug-2011,42.99,42.99,40.51,41.00,6101
ACPL,10-Aug-2011,41.99,42.98,41.99,42.54,22694
ACPL,11-Aug-2011,42.00,42.00,41.56,42.00,2004
ACPL,12-Aug-2011,42.11,42.98,41.15,41.74,109632
ACPL,15-Aug-2011,41.80,42.00,41.79,41.80,7041
ACPL,16-Aug-2011,42.24,42.24,41.10,41.53,66856
ACPL,17-Aug-2011,42.50,42.50,41.61,41.98,20702
ACPL,18-Aug-2011,41.30,41.75,41.00,41.30,7890
ACPL,19-Aug-2011,40.60,41.00,39.72,39.90,31166
ACPL,22-Aug-2011,40.20,41.50,40.20,41.48,11501
ACPL,24-Aug-2011,41.79,42.00,41.00,41.00,9465
ACPL,25-Aug-2011,41.00,43.05,41.00,43.05,33800
ACPL,29-Aug-2011,43.00,43.05,41.55,43.05,3
ACPL,30-Aug-2011,43.50,45.00,43.05,44.01,58290
ACPL,05-Sep-2011,44.10,45.00,44.10,45.00,23030
ACPL,06-Sep-2011,45.00,46.90,44.42,46.80,94391
ACPL,07-Sep-2011,47.00,48.39,47.00,47.74,82444
ACPL,08-Sep-2011,47.50,48.50,47.50,48.00,76102
ACPL,09-Sep-2011,47.00,47.10,45.60,45.62,110905
ACPL,12-Sep-2011,47.50,47.50,45.90,45.90,24153
ACPL,13-Sep-2011,46.80,46.90,46.00,46.18,44429
ACPL,14-Sep-2011,46.50,48.48,46.10,48.22,81855
ACPL,15-Sep-2011,48.75,50.63,48.45,50.11,318369
ACPL,16-Sep-2011,51.00,52.48,50.00,50.36,60655
ACPL,19-Sep-2011,50.49,52.40,50.45,51.65,45522
ACPL,20-Sep-2011,53.49,53.49,51.50,52.07,7592
ACPL,21-Sep-2011,52.94,52.94,52.00,52.26,30121
ACPL,22-Sep-2011,52.40,52.50,51.76,52.00,22019
ACPL,23-Sep-2011,52.00,53.60,50.00,51.13,132736
ACPL,26-Sep-2011,50.00,51.90,49.50,51.20,35494
ACPL,27-Sep-2011,51.50,51.50,50.65,50.83,5912
ACPL,28-Sep-2011,50.12,51.60,50.12,51.09,22554
ACPL,29-Sep-2011,51.75,53.10,50.50,52.05,64618
ACPL,30-Sep-2011,52.90,54.25,52.00,54.02,104972
ACPL,03-Oct-2011,54.02,54.05,52.50,53.02,56998
ACPL,04-Oct-2011,53.35,54.45,52.65,53.37,23194
ACPL,05-Oct-2011,54.39,54.50,53.06,53.94,61104
ACPL,06-Oct-2011,53.94,55.18,53.94,54.01,84021
ACPL,07-Oct-2011,54.25,54.25,53.60,53.95,13029
ACPL,10-Oct-2011,54.51,56.64,54.00,56.64,298392
ACPL,11-Oct-2011,57.00,57.60,54.56,55.10,195308
ACPL,12-Oct-2011,51.00,51.45,49.56,50.21,42141
ACPL,13-Oct-2011,50.50,51.50,49.50,50.97,102338
ACPL,14-Oct-2011,50.30,51.98,50.00,51.28,178681
ACPL,17-Oct-2011,51.00,51.49,50.75,50.78,24746
ACPL,18-Oct-2011,50.99,51.90,50.50,50.92,184333
ACPL,19-Oct-2011,51.15,51.95,50.00,50.27,72400
ACPL,20-Oct-2011,50.95,51.99,50.02,51.65,50782
ACPL,21-Oct-2011,50.80,51.99,50.50,51.14,38047
ACPL,25-Oct-2011,50.50,51.50,50.50,51.11,69800
ACPL,26-Oct-2011,50.81,51.99,50.81,51.02,108952
ACPL,27-Oct-2011,50.51,51.49,49.99,50.58,42479
ACPL,28-Oct-2011,50.50,51.55,50.50,50.65,38509
ACPL,31-Oct-2011,50.99,52.30,50.75,52.00,66720
ACPL,01-Nov-2011,51.05,52.45,51.05,52.00,37611
ACPL,02-Nov-2011,52.10,53.49,52.10,53.00,31952
ACPL,03-Nov-2011,53.25,53.25,52.26,53.00,13
ACPL,04-Nov-2011,53.00,53.25,52.75,52.76,5621
ACPL,10-Nov-2011,52.51,53.50,52.10,53.44,3926
ACPL,14-Nov-2011,53.25,53.25,52.76,52.76,44
ACPL,15-Nov-2011,52.71,53.00,52.00,52.02,83521
ACPL,16-Nov-2011,52.80,53.00,52.00,52.50,61098
ACPL,17-Nov-2011,52.01,52.75,52.01,52.51,4486
ACPL,18-Nov-2011,52.15,53.00,52.15,52.50,4712
ACPL,21-Nov-2011,52.50,52.52,52.40,52.49,1288
ACPL,22-Nov-2011,52.06,52.50,52.06,52.49,395
ACPL,23-Nov-2011,52.11,52.99,51.85,52.43,15352
ACPL,24-Nov-2011,52.84,52.85,51.76,52.00,8605
ACPL,25-Nov-2011,52.00,52.95,52.00,52.08,1313
ACPL,28-Nov-2011,52.08,52.80,51.05,52.69,14890
ACPL,29-Nov-2011,51.25,53.00,51.02,53.00,64581
ACPL,30-Nov-2011,52.20,53.00,52.20,52.79,1502
ACPL,01-Dec-2011,52.20,52.51,52.20,52.40,105020
ACPL,02-Dec-2011,52.24,52.50,52.24,52.42,2000
ACPL,07-Dec-2011,52.00,52.01,51.50,51.52,11375
ACPL,08-Dec-2011,51.50,54.09,51.25,51.93,27194
ACPL,09-Dec-2011,52.74,52.74,51.93,51.93,1
ACPL,12-Dec-2011,52.79,52.79,50.06,51.10,3527
ACPL,13-Dec-2011,51.02,51.45,50.25,51.18,979
ACPL,14-Dec-2011,51.80,52.90,50.62,52.90,15464
ACPL,15-Dec-2011,51.00,51.30,51.00,51.25,3111
ACPL,16-Dec-2011,48.70,51.50,48.70,51.50,1178
ACPL,19-Dec-2011,51.50,53.00,50.01,52.57,19384
ACPL,20-Dec-2011,51.00,52.05,51.00,51.97,22155
ACPL,21-Dec-2011,51.50,52.69,51.50,52.01,42526
ACPL,22-Dec-2011,50.60,51.40,50.00,50.08,28478
ACPL,23-Dec-2011,50.90,51.50,49.50,51.41,9972
ACPL,26-Dec-2011,51.00,52.48,50.55,50.99,51303
ACPL,27-Dec-2011,51.00,51.00,50.99,50.99,26
ACPL,28-Dec-2011,50.80,50.80,50.25,50.25,625
ACPL,29-Dec-2011,51.00,52.00,50.36,51.36,61092
ACPL,30-Dec-2011,50.80,52.00,50.80,51.00,5111
ACPL,02-Jan-2012,51.99,51.99,50.50,51.00,874
ACPL,03-Jan-2012,51.00,52.00,51.00,51.54,13645
ACPL,04-Jan-2012,51.90,51.90,51.54,51.54,202
ACPL,05-Jan-2012,51.50,51.54,51.50,51.54,200
ACPL,06-Jan-2012,51.94,53.00,51.30,51.30,2102
ACPL,09-Jan-2012,51.85,51.85,51.02,51.30,2
ACPL,10-Jan-2012,51.45,51.45,51.00,51.25,2664
ACPL,11-Jan-2012,51.00,52.95,51.00,52.95,6398
ACPL,12-Jan-2012,52.45,52.95,51.21,52.95,2
ACPL,13-Jan-2012,52.45,52.45,51.55,52.00,743
ACPL,16-Jan-2012,51.51,52.39,51.51,52.39,1977
ACPL,17-Jan-2012,51.56,52.40,51.26,52.31,2329
ACPL,18-Jan-2012,52.45,54.00,52.45,53.75,42854
ACPL,19-Jan-2012,54.28,55.00,52.10,53.14,4718
ACPL,20-Jan-2012,51.60,54.90,51.60,54.00,30062
ACPL,23-Jan-2012,53.20,56.20,53.20,56.00,107461
ACPL,24-Jan-2012,56.00,57.25,54.60,57.13,185210
ACPL,25-Jan-2012,57.00,58.25,56.71,56.71,23029
ACPL,26-Jan-2012,57.85,59.25,57.00,58.27,201777
ACPL,27-Jan-2012,58.40,58.40,57.00,57.94,107301
ACPL,30-Jan-2012,57.99,58.25,57.00,57.02,20605
ACPL,31-Jan-2012,56.25,57.75,56.25,57.50,345353
ACPL,01-Feb-2012,57.50,59.25,57.00,57.79,804794
ACPL,02-Feb-2012,57.50,58.00,57.00,57.60,84680
ACPL,03-Feb-2012,58.50,58.50,57.55,58.38,26616
ACPL,06-Feb-2012,58.00,59.50,58.00,59.01,96757
ACPL,07-Feb-2012,59.00,59.80,58.99,59.33,17227
ACPL,08-Feb-2012,59.88,60.00,59.10,59.55,95055
ACPL,09-Feb-2012,59.55,60.00,59.50,59.50,18846
ACPL,10-Feb-2012,60.00,60.00,58.31,59.16,15094
ACPL,13-Feb-2012,59.74,59.74,58.61,59.50,8185
ACPL,14-Feb-2012,59.50,59.90,58.91,59.04,40922
ACPL,15-Feb-2012,56.50,57.30,56.50,57.00,24684
ACPL,16-Feb-2012,57.25,57.25,56.25,56.48,60540
ACPL,17-Feb-2012,56.90,57.20,56.15,56.36,18111
ACPL,20-Feb-2012,56.36,56.98,56.00,56.88,1912
ACPL,21-Feb-2012,56.88,57.66,56.00,57.17,37104
ACPL,22-Feb-2012,57.01,58.00,55.00,56.95,69632
ACPL,23-Feb-2012,57.00,57.00,56.50,56.68,2934
ACPL,24-Feb-2012,56.61,58.10,56.53,58.00,123442
ACPL,27-Feb-2012,58.38,59.25,58.00,59.05,158023
ACPL,28-Feb-2012,59.18,60.00,59.00,59.67,51281
ACPL,29-Feb-2012,58.20,59.75,58.20,59.40,109876
ACPL,01-Mar-2012,59.15,61.00,59.00,59.88,287497
ACPL,02-Mar-2012,60.90,61.99,60.10,61.07,129294
ACPL,05-Mar-2012,61.28,61.68,60.60,61.17,149076
ACPL,06-Mar-2012,61.15,61.15,59.81,60.00,77596
ACPL,07-Mar-2012,60.10,60.90,59.65,59.65,15293
ACPL,08-Mar-2012,60.00,62.63,60.00,62.63,240305
ACPL,09-Mar-2012,64.00,65.50,62.51,65.22,185305
ACPL,12-Mar-2012,65.96,68.48,65.00,68.48,646345
ACPL,13-Mar-2012,69.00,71.90,68.00,71.23,358354
ACPL,14-Mar-2012,71.01,72.50,69.50,70.15,158356
ACPL,15-Mar-2012,70.00,70.64,69.05,70.17,46973
ACPL,16-Mar-2012,70.00,72.80,69.63,72.00,275542
ACPL,19-Mar-2012,72.00,74.89,71.50,74.36,193544
ACPL,20-Mar-2012,74.90,75.00,72.63,73.97,37518
ACPL,21-Mar-2012,73.51,74.00,70.28,72.63,149683
ACPL,22-Mar-2012,72.62,72.62,71.61,72.00,57461
ACPL,26-Mar-2012,73.25,73.25,71.25,71.56,40690
