Symbol,Date,Open,High,Low,Close,Volume
LUCK,25-Mar-2011,65.70,65.70,64.56,64.89,442423
LUCK,28-Mar-2011,65.00,65.50,64.76,64.86,462808
LUCK,29-Mar-2011,65.00,67.00,65.00,65.89,7572765
LUCK,30-Mar-2011,66.25,68.78,65.81,68.03,4951635
LUCK,31-Mar-2011,67.81,68.55,67.15,67.48,2433812
LUCK,01-Apr-2011,67.85,69.40,67.60,68.40,3640810
LUCK,04-Apr-2011,68.55,69.20,67.93,68.04,1125607
LUCK,05-Apr-2011,68.28,68.39,67.25,67.55,757724
LUCK,06-Apr-2011,67.85,69.33,67.80,68.67,1839931
LUCK,07-Apr-2011,69.18,70.60,68.70,70.14,4558776
LUCK,08-Apr-2011,70.80,70.87,70.05,70.37,1196914
LUCK,11-Apr-2011,70.95,71.35,70.00,70.20,1377659
LUCK,12-Apr-2011,70.25,70.37,69.70,70.04,988245
LUCK,13-Apr-2011,70.30,70.30,69.45,69.71,641157
LUCK,14-Apr-2011,69.99,71.40,69.99,70.10,3910913
LUCK,15-Apr-2011,70.06,70.59,69.75,70.10,701931
LUCK,18-Apr-2011,70.50,70.50,69.51,69.94,633668
LUCK,19-Apr-2011,70.25,70.45,69.60,69.96,3025719
LUCK,20-Apr-2011,70.20,71.01,70.15,70.57,713955
LUCK,21-Apr-2011,70.60,72.50,70.60,72.17,2462419
LUCK,22-Apr-2011,72.41,73.45,72.00,72.98,1827266
LUCK,25-Apr-2011,72.67,73.00,72.00,72.06,449434
LUCK,26-Apr-2011,72.10,72.75,72.00,72.24,504546
LUCK,27-Apr-2011,72.55,73.00,72.30,72.47,789308
LUCK,28-Apr-2011,72.45,73.04,72.30,72.93,410701
LUCK,29-Apr-2011,73.10,73.69,72.66,73.40,552320
LUCK,02-May-2011,73.59,73.59,72.06,72.44,470976
LUCK,03-May-2011,72.80,72.80,70.10,70.33,1058777
LUCK,04-May-2011,70.80,71.00,66.93,67.27,872710
LUCK,05-May-2011,67.25,69.50,66.93,69.11,810089
LUCK,06-May-2011,69.11,69.95,68.21,69.61,367446
LUCK,09-May-2011,69.90,70.75,69.85,70.20,347805
LUCK,10-May-2011,70.30,70.30,69.60,69.89,72621
LUCK,11-May-2011,70.49,70.95,69.36,70.59,357876
LUCK,12-May-2011,70.50,71.59,70.40,71.40,677637
LUCK,13-May-2011,71.40,71.60,70.75,70.90,88431
LUCK,16-May-2011,70.55,71.30,69.61,69.89,98788
LUCK,17-May-2011,70.21,71.00,69.60,69.66,182631
LUCK,18-May-2011,70.25,70.25,69.51,69.77,79793
LUCK,19-May-2011,70.00,70.25,69.51,69.72,102507
LUCK,20-May-2011,70.24,70.24,69.55,69.99,117487
LUCK,23-May-2011,69.90,70.30,69.75,70.01,164002
LUCK,24-May-2011,70.35,70.98,70.12,70.64,207298
LUCK,25-May-2011,70.60,71.45,70.60,70.81,340087
LUCK,26-May-2011,71.35,71.74,70.70,71.06,465133
LUCK,27-May-2011,71.20,72.45,70.90,71.59,832469
LUCK,30-May-2011,71.90,72.00,71.50,71.52,137772
LUCK,31-May-2011,71.00,71.90,70.70,71.08,83899
LUCK,01-Jun-2011,71.78,73.03,71.50,72.65,635565
LUCK,02-Jun-2011,72.99,73.35,71.72,71.97,322288
LUCK,03-Jun-2011,71.40,75.56,71.40,74.75,2387456
LUCK,06-Jun-2011,74.25,77.43,73.85,74.30,4450858
LUCK,07-Jun-2011,74.69,75.50,73.07,73.46,1406630
LUCK,08-Jun-2011,73.90,74.39,73.20,73.53,471493
LUCK,09-Jun-2011,73.95,74.20,73.10,73.33,246042
LUCK,10-Jun-2011,73.82,73.89,72.50,72.86,260833
LUCK,13-Jun-2011,73.44,73.44,72.00,72.02,209316
LUCK,14-Jun-2011,72.35,72.68,71.50,71.66,325315
LUCK,15-Jun-2011,71.95,72.10,70.80,70.89,173832
LUCK,16-Jun-2011,70.98,71.65,70.66,71.47,350546
LUCK,17-Jun-2011,71.50,72.50,70.70,71.03,197968
LUCK,20-Jun-2011,71.20,71.20,69.40,69.65,234475
LUCK,21-Jun-2011,69.65,70.58,69.65,70.09,100234
LUCK,22-Jun-2011,70.28,71.50,69.95,70.63,266234
LUCK,23-Jun-2011,70.95,72.00,70.81,71.81,455823
LUCK,24-Jun-2011,71.81,72.45,71.14,71.27,166590
LUCK,27-Jun-2011,70.80,72.95,70.80,70.99,205199
LUCK,28-Jun-2011,70.89,71.20,69.99,70.03,455396
LUCK,29-Jun-2011,70.40,71.63,70.16,70.94,1227658
LUCK,30-Jun-2011,70.80,71.10,70.10,70.84,527419
LUCK,01-Jul-2011,70.15,71.19,70.15,70.96,516935
LUCK,04-Jul-2011,71.25,72.20,70.31,72.02,171027
LUCK,05-Jul-2011,72.10,73.70,72.10,72.74,800802
LUCK,06-Jul-2011,72.80,73.44,72.71,72.83,256535
LUCK,07-Jul-2011,72.51,73.59,72.50,72.54,181131
LUCK,08-Jul-2011,72.10,72.70,72.00,72.33,23230
LUCK,11-Jul-2011,72.35,72.35,71.71,71.96,139608
LUCK,12-Jul-2011,72.00,72.00,70.81,71.27,176322
LUCK,13-Jul-2011,71.51,71.95,71.20,71.37,147361
LUCK,14-Jul-2011,71.00,71.55,71.00,71.33,72278
LUCK,15-Jul-2011,71.70,72.29,71.51,71.87,142700
LUCK,18-Jul-2011,72.00,73.18,72.00,72.62,1187414
LUCK,19-Jul-2011,72.99,73.74,72.25,73.25,3365419
